country,director,genre,imdb_rating,title,year
Австралия,Мулари К. Теллури,драматический фильм,6.8,2:37,2006
,Илья Хржановский,драма,7.6,4 (фильм),2004
,Пол Карри,триллер,5.7,2:22,2017
США,Гэбриэль Коуэн,драма,7.1,3 ночи в пустыне,2014
США,Рассел Малкэхи,биографическая спортивная драма,7.1,3: История Дейла Эрнхардта,
Россия,Сергей Соловьёв,драма,,2-Асса-2,2008
Индия,Раджкумар Хирани,комедия / драма,7.1,3 идиота,2009
Канада,Манон Брайан,комедия,8.6,2 секунды,1998
Франция,Жан-Луи Гийерму,комедия,8.6,2 дурня в снегу,1977
Бразилия,Марко Фиорито,порнофильм и ЛГБТ-фильм,6.4,2 Girls 1 Cup,5 января 2007
США,Бенни Бум,байопик драма боевик,7.3,2pac: Легенда,2017
США,Нил Бёргер,комедийная драма,7.9,1+1: Голливудская история,2017 (Международный кинофестиваль в Торонто 2017 (TIFF)) 2019 (международная премьера)
,Жюли Дельпи,комедия драма мелодрама,8.6,2 дня в Париже,2007
США,Ллойд Бэкон Басби Беркли (муз. номера),комедия мюзикл мелодрама,7.5,42-я улица (фильм),1933
,Юго Желен,Музыка к фильму,,,2016
США,Майкл Леманн,кинокомедия,,40 дней и 40 ночей,2002
США,Брайан Хелгеленд,драма спортивный фильм,7.5,42 (фильм),12 апреля 2013 и 8 августа 2013
Азербайджан,Эльчин Мусаоглу,драма,7.1,40-я дверь,2009
Россия,Александр Галибин,детектив / триллер,,"40 (фильм, 2007)",2007
,Патрисия Ригген,драма,6.5,33 (фильм),2015
СССР,Андрей Малюков,Фильм-катастрофа приключенческий фильм драма,7.0,34-й скорый,1981
Республика Корея,Кан Джегю,драма боевик военный,7.0,38-я параллель (фильм),2004
Венгрия,Карой Макк,"исторический фильм, военный, экранизация",6.2,39-я бригада (фильм),1959
Канада,Дени Вильнёв,"драма , мелодрама",5.6,32-е августа на Земле,1998
Гонконг,Чэнь Чжихуа,боевик комедия,7.1,36 безумных кулаков,1977
,Ригоберто Кастаньеда,"ужасы , мистика",5.1,31-й километр,2006
Россия,Александр Муратов,"комедия , фантастика мелодрама",5.6,32 декабря (фильм),2004
СССР,Леонид Квинихидзе,"музыкальный фильм ( мюзикл ), фэнтези",5.1,31 июня (фильм),
США,Бен Кетай,триллер / фильм ужасов,6.3,30 дней ночи: Тёмные времена,2010
США,Роб Зомби,Фильм ужасов,5.1,31 (фильм),2016
Россия,Таисия Игуменцева,комедия мелодрама,6.3,30 свиданий,2016
США,Ли Рой Майерс,порнофильм,6.5,30 Rock: A XXX Parody,2009
США,Крэйг Мосс,комедийный фильм ужасов,6.3,30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,2012
Швеция,Андерс Банке,фильм ужасов комедия,6.3,30 дней до рассвета,2006
США,Дэвид Слейд,фильм о вампирах,6.3,30 дней ночи,16 октября 2007 и 8 ноября 2007
США,Джордж Галло,комедия драма,,"29-я улица (фильм, 1991)",1991
,Брюно Дюмон,драма роуд-муви,,"29 пальм (фильм, 2003)",2003
США,Питер Хатчингс,независимый кинематограф,6.3,30 безумных желаний,2018
,Хуан Карлос Фреснадильо,постапокалиптический фильм ужасов,7.5,28 недель спустя,2007
Россия,Леонид Андронов,"драма , музыкальный фильм",6.9,29 километр (фильм),2012
,Дэнни Бойл,постапокалиптический фильм ужасов,7.5,28 лет спустя,2025
,Ниа Дакоста,постапокалиптика и фильм ужасов,,28 лет спустя. Часть II: Костяной храм,16 января 2026
Великобритания,Дэнни Бойл,Музыка к фильму,7.5,28 дней спустя,2002
США,Уильям Эшер,научная фантастика,6.1,27-й день,1957
,Иван Качалин,документальный,6.1,27 секунд памяти,2019
США,Энн Флетчер,романтическая комедия,6.1,27 свадеб,2008
,Нана Джорджадзе,комедия драма мелодрама,6.1,27 украденных поцелуев,2000
США,Бетти Томас,"драма , комедия",7.5,28 дней,2000
США,Спайк Ли,криминальный фильм драма,7.0,25-й час,2002
СССР,Алоиз Бренч Ростислав Горяев,"детективный фильм , драма",5.9,24-25 не возвращается,1968
Уругвай,Хуан Пабло Ребелья Пабло Столь,Комедийная драма,7.0,25 ватт,2001
Россия,Александр Атанесян,боевик драма,,"24 часа (фильм, 2000)",2000
Франция,Ришар Берри,"триллер , детектив",7.0,22 пули: Бессмертный,2010
,Луис Мандоки,триллер,,"24 часа (фильм, 2002)",2002
Германия,Анна Зора Берашед,драматический фильм,8.4,24 недели,"22 сентября 2016 , 13 октября 2016 и 2016"
,Аббас Киаростами,драматический фильм,8.4,24 кадра,май 2017
Германия,Ганс-Христиан Шмидт,триллер / драма,6.4,23 (фильм),1998
США,Нэнси Савока,комедия,,"24 часа из жизни женщины (фильм, 1999)",1999
США,Джон Кассар,Музыка к фильму,8.4,24 часа: Искупление,
Россия,Василий Сериков,боевик,7.0,22 минуты,2014
США,Джон Лукас Скотт Мур,комедия,7.2,21 и больше,2013
США,Пол Гринграсс,Драма,7.0,22 июля (фильм),2018
Россия,Борис Галкин,драма,,"22 июня, ровно в 4 часа…",1992
США,Алехандро Гонсалес Иньярриту,драма,7.2,21 грамм,2003
Франция,Арно Ларье Жан-Мари Ларье,комедия,7.2,21 ночь с Патти,2015
США,Брайан Кирк,драма триллер детектив,7.2,21 мост,2019
США,Питер Берг,"боевик , триллер",7.0,22 мили,2018
Испания,Эстибалис Урресола Солагурен,драматический фильм и ЛГБТ-фильм,5.8,20 тысяч разновидностей пчёл,2023 и 30 ноября 2023
Украина,Мстислав Чернов,документальный фильм и военный фильм,5.8,20 дней в Мариуполе,2023
Россия,Александр Горновский,драма комедия,5.8,20 сигарет,2007
,Натан Юран,"научно-фантастический фильм , фильм о монстрах , фильм-катастрофа , приключенческий фильм , фэнтезийный фильм , фильм-триллер и фильм ужасов",5.8,20 миллионов миль до Земли,1957
США,Ричард Флейшер,"драма , стимпанк , приключенческий фильм",,"20 000 лье под водой (фильм, 1954)",1954
,Рамон Саласар,комедия мюзикл,5.8,20 сантиметров,2005
СССР,Григорий Никулин,исторический фильм,5.8,20 декабря (телефильм),
США,Род Харди,криминальный фильм драма триллер,,"20 000 лье под водой (фильм, 1997)",1997
США,Майкл Кёртис,Криминальная мелодрама Тюремная драма,5.4,20 000 лет в Синг-Синге,1932
Россия,Андрес Пуустусмаа,исторический детектив приключение,6.0,18-14,2007
США,Стюарт Патон,фантастика,,"20 000 лье под водой (фильм, 1916)",1916
Казахстан,Фархат Шарипов,драма,5.2,18 килогерц,2020
США,Тамара Олсон,комедия,5.2,18-летняя девственница,2008
Республика Корея,Ким Джи Хун,боевик драма военный история,,"18 мая (фильм, 2007)",2007
,Джозеф Го,боевик драма,5.2,18 бронзовых бойцов,1975
Великобритания,Айан Форсайт Джейн Поллард,документальный музыкальный,5.4,20 000 дней на Земле,2014
Франция,Патрик Алессандрен,комедия,6.1,15 августа (фильм),2001
США,Питер Делуиз,подростковая фэнтезийная комедия,6.6,16 желаний,
США,Ричард Доннер,криминальный фильм драма триллер,6.6,16 кварталов,2006
Россия,Андрей Зайцев,мелодрама,7.7,14+: Продолжение,2023
Россия,Андрей Зайцев,мелодрама,6.9,14+,2015
Франция,Дельфин Кулин Мюриэль Кулин,драма,6.4,17 девушек (фильм),2011
,Дэниел Ли,боевик триллер,7.7,14 клинков,2010
США,Джон Херцфелд,Криминальная драма боевик,6.1,15 минут славы,2001
Гонконг,Чэн Ган Дун Шаоюн,приключенческий фильм драма военный фильм,7.7,14 амазонок,1972
,Камиль Деламарр,боевик,7.5,13-й район: Кирпичные особняки,2014
Франция,Рене Клер,комедия,7.7,14 июля (фильм),1933
Франция,Пьер Морель,боевик,7.5,13-й район,2004
Великобритания,Джонти Эктон Адам Мэйсон,Ужасы,7.5,13-й знак,2000
Чехословакия,Мартин Фрич,"криминальный фильм драма , экранизация",7.5,13-й участок,1946
Франция,Патрик Алессандрен ( фр. Patrick Alessandrin ),боевик,7.5,13-й район: Ультиматум,2009
США,Мэл Хаус,ужасы,7.5,13-я жертва,2008
США,Майкл Бэй,военный драма триллер,7.5,13 часов: Тайные солдаты Бенгази,2016
Япония,Такаси Миикэ,боевик,7.5,13 убийц,2010
Нацистская Германия,Эмерих Йозеф Войтек,Комедия,7.5,13 стульев,1938
Россия,,документальный,7.5,13 друзей хунты,2014
СССР,Сурен Бабаян,фантастический фильм,7.5,13-й апостол,1988
Франция,Клод Лелуш Жиль Ги Франсуа Рейшенбах,документальный фильм спортивный фильм,7.5,13 дней во Франции,1968
США,Уильям Касл,фильм ужасов,7.5,13 призраков,1960
,Хакобо Мартинес,фильм ужасов,7.5,13 изгнаний дьявола,2022
СССР,Леонид Гайдай,комедия,,"12 стульев (фильм, 1971)",1971
Румыния,Корнелиу Порумбою,комедия,7.3,12:08 к востоку от Бухареста,2006
США,Ренни Харлин,боевик триллер криминал,9.0,12 раундов,2009
СССР,Александр Белинский,телеспектакль,9.0,12 стульев (телеспектакль),1966
Россия,Джеф Агаев,Музыкальная драма,9.0,12 этажей спустя,2024
